[Accuracy: 45.1% for 1000 games with 10 bombs, total time: 69.06s, average time per game: 0.07s]
won,332,410,0.1,31
won,333,410,0.12,24
lost,333,411,0.02,3
won,334,411,0.06,17
lost,334,412,0.07,10
lost,334,413,0.05,2
lost,334,414,0.03,1
lost,334,415,0.04,2
won,335,415,0.1,24
lost,335,416,0.03,4
lost,335,417,0.05,5
lost,335,418,0.05,2
lost,335,419,0.04,2
lost,335,420,0.04,2
won,336,420,0.1,28
lost,336,421,0.04,3
lost,336,422,0.05,2
won,337,422,0.11,20
won,338,422,0.1,17
lost,338,423,0.04,8
lost,338,424,0.04,6
lost,338,425,0.04,1
lost,338,426,0.03,3
lost,338,427,0.04,9
lost,338,428,0.03,1
lost,338,429,0.03,3
lost,338,430,0.03,2
won,339,430,0.09,29
won,340,430,0.1,30
won,341,430,0.1,33
lost,341,431,0.05,9
won,342,431,0.1,23
won,343,431,0.11,24
lost,343,432,0.04,3
lost,343,433,0.1,29
won,344,433,0.07,13
lost,344,434,0.06,8
lost,344,435,0.05,3
lost,344,436,0.03,1
lost,344,437,0.03,5
lost,344,438,0.03,2
won,345,438,0.07,10
won,346,438,0.08,11
won,347,438,0.07,21
lost,347,439,0.05,10
lost,347,440,0.04,5
won,348,440,0.07,22
won,349,440,0.09,21
won,350,440,0.1,26
won,351,440,0.09,23
lost,351,441,0.04,3
won,352,441,0.1,16
won,353,441,0.09,20
won,354,441,0.1,21
lost,354,442,0.08,22
won,355,442,0.1,23
won,356,442,0.1,23
won,357,442,0.12,24
won,358,442,0.12,25
lost,358,443,0.05,2
won,359,443,0.12,20
lost,359,444,0.04,6
lost,359,445,0.05,1
won,360,445,0.08,30
lost,360,446,0.03,1
won,361,446,0.1,34
won,362,446,0.1,34
lost,362,447,0.12,20
won,363,447,0.1,18
won,364,447,0.08,30
lost,364,448,0.08,29
lost,364,449,0.03,1
lost,364,450,0.07,10
lost,364,451,0.05,6
lost,364,452,0.03,1
lost,364,453,0.04,3
won,365,453,0.11,15
won,366,453,0.09,28
won,367,453,0.07,12
won,368,453,0.1,21
won,369,453,0.09,20
won,370,453,0.1,20
lost,370,454,0.03,1
lost,370,455,0.03,1
won,371,455,0.09,41
lost,371,456,0.03,1
lost,371,457,0.03,5
won,372,457,0.08,17
won,373,457,0.08,18
won,374,457,0.1,16
won,375,457,0.14,34
won,376,457,0.12,28
won,377,457,0.07,6
lost,377,458,0.08,26
lost,377,459,0.03,2
won,378,459,0.07,6
won,379,459,0.1,34
lost,379,460,0.04,8
won,380,460,0.09,16
won,381,460,0.1,31
lost,381,461,0.04,1
lost,381,462,0.04,5
won,382,462,0.1,39
lost,382,463,0.12,34
won,383,463,0.11,27
lost,383,464,0.05,8
lost,383,465,0.06,13
won,384,465,0.11,23
lost,384,466,0.08,19
lost,384,467,0.03,1
lost,384,468,0.04,5
lost,384,469,0.04,1
lost,384,470,0.04,4
won,385,470,0.06,15
lost,385,471,0.04,2
lost,385,472,0.04,2
won,386,472,0.1,25
won,387,472,0.11,25
won,388,472,0.12,26
won,389,472,0.12,27
won,390,472,0.13,28
lost,390,473,0.05,6
won,391,473,0.09,15
won,392,473,0.09,20
lost,392,474,0.08,12
won,393,474,0.09,34
won,394,474,0.11,35
won,395,474,0.06,17
won,396,474,0.08,32
won,397,474,0.07,30
won,398,474,0.08,30
